name,tweets,followers_count
OBieOn1,14,166
PrinCollege,1289,1296
Steve_Walentik,27294,6864
brookings_s,27,3
MJLastes,179,199
EmJayne9,51,32
WUDeptMedicine,45,181
AlhajajIntisar,0,3
MybiologyNet,77,25
gwoodcat,0,17
WesRoyTweets,26,431
WUSTLmstp,32,85
DoctorBKay,91,38
anneh468,1248,33
Jack87058173,0,3
amir_kasaeian,27,35
DamodaranThara,0,4
ArshadRizvi23,2,8
mommadeb320,88,65
lucydiaz93,56,61
StephineWaderl1,1,0
SARCAT_Official,10,5
jack_danijels93,676,356
nancyabhatia,295,70
assaypro,12,2
Cogniphilia,1593,152
MeghanR15,0,68
Pratyush_Bilas,124,44
sophiaAir0801,6,5
BackusBruce,2,9
CTIeRFW9hAZwcNl,0,0
Sree_sreeram91,72,84
SegristLaurel,177,27
Xiqiang2,48,8
annawilliams998,295,129
impulseft12,11,6
DavidSDePriest,5308,437
AbigailBettlach,22,30
Huang79096498,1,1
GugoleLeo,4,11
rainierdhel2,74,57
amichaelmanns,57,75
lalit37668396,2,1
farhanmshabbir,116,195
Darnell_Smith99,152,31
JohnStelwagon,56,12
pgomez2129,78,6
klechevskyLab,10,19
charleston_doc,25,30
Turneradvising,3,5
yuangao57766632,0,0
steviezh,17,2
woodwatches_com,5169,8905
zonaAri2018,1,5
rebecca_julie_,1,6
LOVE_the_LOU,502,487
MuctebaTilburg,7,44
_derekbranch,169,255
guenthner_kevin,1,2
DoctorJRamirez,6563,1235
SiegalAlexandra,43,26
it_shades,109,368
Ezekiel40598205,0,1
glaciofluvigeom,7221,49
MarcoMeschis,3771,1020
gabby_bomberg,271,244
DanaWerner421,19,42
ZTripp4,31,12
EllaMar44412513,0,22
vwilliamsmd,73,100
WFSTL,688,506
BNGOMBA,573,64
314paws,116,62
camgeorge99,4,1
LisaMuxo,249,63
smilyeyzeo,42,59
OrchidShiny,5,3
Saydiebay,40,13
guertie10,0,9
KatherineClift4,7,36
fatmaklyc,2351,119
WiserUTips,3112,1560
notionpartners,24,5
maryfranceswest,769,109
EdmundKnestrick,3,9467
camilleinegron,0,6
lymphomahub,5792,3510
lockentobi,121,124
waala_yennaah,163,244
TheScreenLawyer,7,10
wealth_water,16,13
oystro,160,7
aya55440,296,81
Tille2020,69,46
WashU_dril,3,0
wdgc93,21467,594
mchibb,68,34
0xbros,155,66
AjWiningham,9,3
abiabernathy1,0,3
VREFSTL,483,299
Pughja,4389,204
emilyajones21,5,31
UcheDoc,899,467
slualumni,1839,2975
ZachLGlick,1,9
PSICert,122,2848
_alekslarsen,321,716
rog_junio,0,12
WinstonPitts,1705,181
lan_ya_,1,2
ralamedd,1235,1182
andrewsrubin,3,277
Seenaa_Rah,79,60
AGanguly2019,14,19
NoPlay_,193525,235
Branson_Fox,558,80
The_Awakening_S,53,14
kimberlykreis,120,33
EbenSquizy,508,150
nouichi_ines,1,0
sivaramanarjun,32,101
Its_MorganF,445,67
dubj34,1082,34
MeredithSByers,667,233
